title,description,price,category,timestamp,query_id,filter_category,filter_price_min,filter_price_max,filter_storage_type,cart,bought,brand,package_size,unit_of_measure,net_weight_oz,dimensions_in,storage_type,ingredients,allergens,nutrition_score,country_of_origin
Blue Cart Multi Surface Trash Bags - 50 fl oz (Top Rated),Multi Surface trash bags in a 50 fl oz package for online grocery orders. Listed under household and intended for ambient storage. Rated highly by shoppers for consistent quality.,6.25,Household,2025-02-20T18:35:51Z,q_000196,Household,2.61,27.44,Ambient,false,false,Blue Cart,50 fl oz,fl oz,50.49,"7.9 x 10.9 x 6.3""",Ambient,Household materials,None,0,Mexico
Valley Select Washed Grape Tomatoes - 12 oz (Rarely Reordered),Washed grape tomatoes in a 12 oz package for online grocery orders. Listed under produce and intended for ambient storage. Rarely reordered by past customers.,5.26,Produce,2025-10-23T19:39:48Z,q_000197,Produce,1.26,11.41,Ambient,true,false,Valley Select,12 oz,oz,11.50,"2.7 x 8.1 x 2.5""",Ambient,Whole produce,None,78,United States
Green Fork Fresh Baby Spinach - 2 lb (Limited Feedback),Fresh baby spinach in a 2 lb package for online grocery orders. Listed under produce and intended for ambient storage. Recently added to the online catalog.,6.47,Produce,2026-06-29T04:16:29Z,q_000197,Produce,1.26,11.41,Ambient,false,false,Green Fork,2 lb,lb,32.95,"5.4 x 16.6 x 4.8""",Ambient,Whole produce,None,96,New Zealand
Purely Good Washed Strawberries - 12 oz (Low Feedback),Washed strawberries in a 12 oz package for online grocery orders. Listed under produce and intended for ambient storage. Marked for limited future availability.,1.68,Produce,2025-10-26T08:10:42Z,q_000197,Produce,1.26,11.41,Ambient,true,false,Purely Good,12 oz,oz,12.96,"3.5 x 8.7 x 2.4""",Ambient,Whole produce,None,79,New Zealand
Sunny Basket Premium Avocados - 2 lb (Best Seller),Premium avocados in a 2 lb package for online grocery orders. Listed under produce and intended for ambient storage. One of the most repurchased items in its aisle.,2.75,Produce,2025-12-12T12:12:21Z,q_000198,Produce,0.50,10.60,Ambient,false,false,Sunny Basket,2 lb,lb,33.33,"4.7 x 11.8 x 7.8""",Ambient,Whole produce,None,78,United States
Green Fork Premium Mini Cucumbers - 3 lb (Best Seller),Premium mini cucumbers in a 3 lb package for online grocery orders. Listed under produce and intended for ambient storage. Rated highly by shoppers for consistent quality.,4.69,Produce,2025-10-08T00:33:15Z,q_000198,Produce,0.50,10.60,Ambient,true,true,Green Fork,3 lb,lb,46.34,"9.9 x 15.9 x 9.4""",Ambient,Whole produce,None,91,United States
Blue Cart Fresh Strawberries - 2 lb (Customer Favorite),Fresh strawberries in a 2 lb package for online grocery orders. Listed under produce and intended for ambient storage. Frequently reordered by returning customers.,2.44,Produce,2025-02-15T14:27:29Z,q_000198,Produce,0.50,10.60,Ambient,false,false,Blue Cart,2 lb,lb,32.78,"4.9 x 15.9 x 7.6""",Ambient,Whole produce,None,78,Mexico
Oak & Grain Ripe Sweet Potatoes - 2 lb (Popular Choice),Ripe sweet potatoes in a 2 lb package for online grocery orders. Listed under produce and intended for ambient storage. Generally receives positive feedback.,1.42,Produce,2024-12-21T11:54:43Z,q_000198,Produce,0.50,10.60,Ambient,true,false,Oak & Grain,2 lb,lb,34.31,"4.8 x 7.3 x 5.8""",Ambient,Whole produce,None,92,United States
Golden Acre Ripe Avocados - 1 lb (Popular Choice),Ripe avocados in a 1 lb package for online grocery orders. Listed under produce and intended for ambient storage. A dependable pick according to reviews.,1.76,Produce,2025-04-28T09:07:51Z,q_000198,Produce,0.50,10.60,Ambient,true,false,Golden Acre,1 lb,lb,15.45,"2.7 x 6.1 x 4.3""",Ambient,Whole produce,None,79,United States
Harvest Lane Fresh Bananas - 2 lb (Standard Listing),Fresh bananas in a 2 lb package for online grocery orders. Listed under produce and intended for ambient storage. Available for standard online ordering.,3.99,Produce,2025-02-14T08:22:00Z,q_000198,Produce,0.50,10.60,Ambient,false,false,Harvest Lane,2 lb,lb,34.48,"8.3 x 16.4 x 11.3""",Ambient,Whole produce,None,80,United States
Valley Select Ripe Grape Tomatoes - 12 oz (Shopper Favorite),Ripe grape tomatoes in a 12 oz package for online grocery orders. Listed under produce and intended for ambient storage. Often recommended by repeat customers.,8.82,Produce,2026-06-13T20:06:06Z,q_000198,Produce,0.50,10.60,Ambient,false,false,Valley Select,12 oz,oz,12.43,"1.0 x 6.0 x 5.7""",Ambient,Whole produce,None,82,United States
FreshField Ready To Heat Chicken Nuggets - 24 oz (Well Reviewed),Ready To Heat chicken nuggets in a 24 oz package for online grocery orders. Listed under frozen and intended for frozen storage. Generally receives positive feedback.,4.43,Frozen,2025-05-31T07:30:17Z,q_000199,Frozen,2.18,17.05,Frozen,false,false,FreshField,24 oz,oz,24.22,"5.4 x 10.9 x 6.0""",Frozen,"Salt, Prepared ingredients, Spices",None,56,Canada
Market Pantry Co. Ready To Heat Mac And Cheese - 16 oz (Low Feedback),Ready To Heat mac and cheese in a 16 oz package for online grocery orders. Listed under frozen and intended for frozen storage. One of the less-repurchased items in its aisle.,12.34,Frozen,2025-03-17T21:04:07Z,q_000199,Frozen,2.18,17.05,Frozen,false,false,Market Pantry Co.,16 oz,oz,15.43,"2.9 x 5.2 x 2.2""",Frozen,"Prepared ingredients, Salt, Spices",None,54,United States
Corner Market Steamable Pepperoni Pizza - 24 oz (Shopper Favorite),Steamable pepperoni pizza in a 24 oz package for online grocery orders. Listed under frozen and intended for frozen storage. Well liked by regular shoppers.,6.09,Frozen,2025-08-28T08:44:05Z,q_000199,Frozen,2.18,17.05,Frozen,false,false,Corner Market,24 oz,oz,24.00,"4.0 x 13.0 x 4.1""",Frozen,"Salt, Spices, Prepared ingredients",Wheat,37,United States
Market Pantry Co. Family Size Mac And Cheese - 24 oz (Best Seller),Family Size mac and cheese in a 24 oz package for online grocery orders. Listed under frozen and intended for frozen storage. Consistently praised in customer feedback.,10.44,Frozen,2025-12-20T04:05:43Z,q_000199,Frozen,2.18,17.05,Frozen,true,true,Market Pantry Co.,24 oz,oz,22.71,"3.7 x 8.2 x 2.9""",Frozen,"Salt, Prepared ingredients, Spices",None,64,Canada
Golden Acre Ready To Heat Mac And Cheese - 24 oz (Limited Feedback),Ready To Heat mac and cheese in a 24 oz package for online grocery orders. Listed under frozen and intended for frozen storage. Recently added to the online catalog.,8.43,Frozen,2025-05-20T14:32:45Z,q_000199,Frozen,2.18,17.05,Frozen,true,false,Golden Acre,24 oz,oz,22.95,"5.1 x 11.3 x 10.0""",Frozen,"Spices, Salt, Prepared ingredients",Milk,55,United States
FreshField Ready To Heat Pepperoni Pizza - 24 oz (Limited Feedback),Ready To Heat pepperoni pizza in a 24 oz package for online grocery orders. Listed under frozen and intended for frozen storage. Feedback on this listing is still limited.,12.42,Frozen,2024-10-21T04:46:49Z,q_000199,Frozen,2.18,17.05,Frozen,false,false,FreshField,24 oz,oz,23.27,"2.5 x 5.6 x 8.1""",Frozen,"Spices, Salt, Prepared ingredients",Wheat,37,United States
Golden Acre Crispy Breakfast Burritos - 10 oz (Rarely Reordered),Crispy breakfast burritos in a 10 oz package for online grocery orders. Listed under frozen and intended for frozen storage. Rarely reordered by past customers.,9.33,Frozen,2026-04-08T13:57:02Z,q_000199,Frozen,2.18,17.05,Frozen,true,false,Golden Acre,10 oz,oz,10.78,"1.9 x 8.6 x 6.1""",Frozen,"Prepared ingredients, Spices, Salt",Wheat,28,United States
Oak & Grain Crispy Pepperoni Pizza - 10 oz,Crispy pepperoni pizza in a 10 oz package for online grocery orders. Listed under frozen and intended for frozen storage. Stocked as part of the regular lineup.,11.20,Frozen,2026-03-30T02:48:58Z,q_000199,Frozen,2.18,17.05,Frozen,false,false,Oak & Grain,10 oz,oz,10.14,"2.9 x 7.9 x 3.6""",Frozen,"Salt, Spices, Prepared ingredients",Milk,62,Mexico
Market Pantry Co. Boneless Turkey Bacon - 1.5 lb (#1 Pick),Boneless turkey bacon in a 1.5 lb package for online grocery orders. Listed under meat and intended for refrigerated storage. Rated highly by shoppers for consistent quality.,17.00,Meat,2025-03-16T02:12:02Z,q_000200,Meat,4.48,23.91,Refrigerated,false,false,Market Pantry Co.,1.5 lb,lb,24.79,"3.7 x 13.4 x 3.9""",Refrigerated,"Meat, Salt",None,75,Vietnam
Harvest Lane Seasoned Ham Steak - 1 lb (Recently Added),Seasoned ham steak in a 1 lb package for online grocery orders. Listed under meat and intended for refrigerated storage. Recently added to the online catalog.,17.01,Meat,2025-02-21T19:36:31Z,q_000200,Meat,4.48,23.91,Refrigerated,false,false,Harvest Lane,1 lb,lb,16.71,"3.7 x 3.4 x 6.7""",Refrigerated,"Salt, Meat",None,54,New Zealand
Daily Table Fresh Ground Beef - 1.5 lb (Top Rated),Fresh ground beef in a 1.5 lb package for online grocery orders. Listed under meat and intended for refrigerated storage. One of the most repurchased items in its aisle.,20.53,Meat,2024-08-22T13:19:35Z,q_000200,Meat,4.48,23.91,Refrigerated,true,true,Daily Table,1.5 lb,lb,25.15,"5.2 x 6.7 x 6.3""",Refrigerated,"Meat, Salt",None,71,United States
FreshField Fresh Pork Chops - 3 lb (#1 Pick),Fresh pork chops in a 3 lb package for online grocery orders. Listed under meat and intended for refrigerated storage. Consistently praised in customer feedback.,9.29,Meat,2024-08-09T11:01:12Z,q_000200,Meat,4.48,23.91,Refrigerated,true,true,FreshField,3 lb,lb,48.65,"8.7 x 8.2 x 9.8""",Refrigerated,"Salt, Meat",None,71,United States
Corner Market Lean Italian Sausage - 1 lb (Top Rated),Lean Italian sausage in a 1 lb package for online grocery orders. Listed under meat and intended for refrigerated storage. Rated highly by shoppers for consistent quality.,11.68,Meat,2025-07-01T22:18:36Z,q_000200,Meat,4.48,23.91,Refrigerated,false,false,Corner Market,1 lb,lb,15.54,"2.9 x 7.6 x 6.5""",Refrigerated,"Meat, Salt",None,51,United States
Daily Table Small Batch Mozzarella Slices - 24 oz (Limited Feedback),Small Batch mozzarella slices in a 24 oz package for online grocery orders. Listed under dairy and intended for refrigerated storage. Limited customer feedback so far.,4.75,Dairy,2025-08-19T15:40:33Z,q_000201,Dairy,1.22,12.95,Refrigerated,true,false,Daily Table,24 oz,oz,23.19,"5.4 x 7.6 x 8.1""",Refrigerated,"Cultures, Salt, Milk, Cream",Milk,48,United States
Valley Select Family Size Vanilla Yogurt Cups - 32 fl oz (Customer Favorite),Family Size vanilla yogurt cups in a 32 fl oz package for online grocery orders. Listed under dairy and intended for refrigerated storage. Consistently praised in customer feedback.,3.19,Dairy,2025-05-04T14:32:57Z,q_000201,Dairy,1.22,12.95,Refrigerated,true,false,Valley Select,32 fl oz,fl oz,32.89,"5.2 x 16.1 x 11.9""",Refrigerated,"Cream, Milk, Salt, Cultures",Milk,53,United States
Purely Good Low Fat Greek Yogurt - 1 gal (Top Rated),Low Fat Greek yogurt in a 1 gal package for online grocery orders. Listed under dairy and intended for refrigerated storage. Rated highly by shoppers for consistent quality.,9.30,Dairy,2024-11-09T10:27:07Z,q_000201,Dairy,1.22,12.95,Refrigerated,false,false,Purely Good,1 gal,gal,128.09,"4.5 x 11.4 x 5.5""",Refrigerated,"Cultures, Cream, Milk, Salt",Milk,76,United States
Purely Good Small Batch Whole Milk - 1 gal (Current Stock),Small Batch whole milk in a 1 gal package for online grocery orders. Listed under dairy and intended for refrigerated storage.,8.18,Dairy,2025-03-16T18:51:14Z,q_000201,Dairy,1.22,12.95,Refrigerated,true,false,Purely Good,1 gal,gal,126.25,"4.6 x 12.7 x 4.6""",Refrigerated,"Salt, Milk, Cultures, Cream",Milk,75,Chile
Daily Table Cultured Sour Cream - 32 fl oz (Regular Listing),Cultured sour cream in a 32 fl oz package for online grocery orders. Listed under dairy and intended for refrigerated storage. Available for standard online ordering.,4.11,Dairy,2025-12-30T07:53:47Z,q_000201,Dairy,1.22,12.95,Refrigerated,true,false,Daily Table,32 fl oz,fl oz,32.78,"3.9 x 16.6 x 11.1""",Refrigerated,"Cultures, Salt, Cream, Milk",Milk,51,United States
Golden Acre Family Size Sharp Cheddar - 16 oz (Low Feedback),Family Size sharp cheddar in a 16 oz package for online grocery orders. Listed under dairy and intended for refrigerated storage. Rarely reordered by past customers.,9.19,Dairy,2025-04-05T08:49:53Z,q_000201,Dairy,1.22,12.95,Refrigerated,true,false,Golden Acre,16 oz,oz,15.13,"2.3 x 8.4 x 5.4""",Refrigerated,"Cream, Salt, Cultures, Milk",Milk,57,United States
Oak & Grain Family Size Vanilla Yogurt Cups - 1 gal (Limited Feedback),Family Size vanilla yogurt cups in a 1 gal package for online grocery orders. Listed under dairy and intended for refrigerated storage. Feedback on this listing is still limited.,8.76,Dairy,2025-01-25T04:56:48Z,q_000202,Dairy,1.07,13.50,Refrigerated,false,false,Oak & Grain,1 gal,gal,131.74,"6.0 x 7.4 x 7.3""",Refrigerated,"Cream, Salt, Milk, Cultures",Milk,80,United States
Market Pantry Co. Low Fat Mozzarella Slices - 16 oz (Discontinuing Soon),Low Fat mozzarella slices in a 16 oz package for online grocery orders. Listed under dairy and intended for refrigerated storage. One of the less-repurchased items in its aisle.,8.06,Dairy,2025-10-18T23:40:43Z,q_000202,Dairy,1.07,13.50,Refrigerated,false,false,Market Pantry Co.,16 oz,oz,15.61,"3.2 x 5.5 x 2.3""",Refrigerated,"Milk, Cultures, Salt, Cream",Milk,74,Chile
North Star Foods Small Batch Vanilla Yogurt Cups - 1 gal (Low Feedback),Small Batch vanilla yogurt cups in a 1 gal package for online grocery orders. Listed under dairy and intended for refrigerated storage. Marked for limited future availability.,6.89,Dairy,2026-01-04T06:38:18Z,q_000202,Dairy,1.07,13.50,Refrigerated,false,false,North Star Foods,1 gal,gal,133.50,"12.3 x 12.6 x 6.1""",Refrigerated,"Cultures, Cream, Salt, Milk",Milk,52,Italy
Harvest Lane Creamy Sharp Cheddar - 24 oz (New Listing),Creamy sharp cheddar in a 24 oz package for online grocery orders. Listed under dairy and intended for refrigerated storage. Limited customer feedback so far.,7.04,Dairy,2025-09-10T18:15:42Z,q_000202,Dairy,1.07,13.50,Refrigerated,false,false,Harvest Lane,24 oz,oz,23.93,"2.0 x 6.9 x 7.1""",Refrigerated,"Milk, Salt, Cream, Cultures",Milk,75,Canada
Riverbend Classic Maple Syrup - 15 oz (Best Seller),Classic maple syrup in a 15 oz package for online grocery orders. Listed under pantry and intended for ambient storage. One of the most repurchased items in its aisle.,14.92,Pantry,2026-01-01T09:31:37Z,q_000203,Pantry,1.14,16.80,Ambient,false,false,Riverbend,15 oz,oz,15.20,"1.2 x 6.3 x 6.3""",Ambient,"Prepared ingredients, Natural flavors, Salt",Peanuts,56,Vietnam
North Star Foods Classic Spaghetti - 15 oz (Customer Favorite),Classic spaghetti in a 15 oz package for online grocery orders. Listed under pantry and intended for ambient storage. Rated highly by shoppers for consistent quality.,13.48,Pantry,2025-12-07T17:16:25Z,q_000203,Pantry,1.14,16.80,Ambient,true,true,North Star Foods,15 oz,oz,15.73,"2.4 x 4.5 x 3.4""",Ambient,"Prepared ingredients, Salt, Natural flavors",Soy,32,United States
Green Fork Classic Olive Oil - 32 oz (Rarely Reordered),Classic olive oil in a 32 oz package for online grocery orders. Listed under pantry and intended for ambient storage. One of the less-repurchased items in its aisle.,1.56,Pantry,2025-08-10T14:31:47Z,q_000203,Pantry,1.14,16.80,Ambient,false,false,Green Fork,32 oz,oz,30.26,"5.4 x 12.6 x 13.1""",Ambient,"Salt, Natural flavors, Prepared ingredients",Peanuts,65,United States
Market Pantry Co. Gluten Free Long Grain Rice - 15 oz (Rarely Reordered),Gluten Free long grain rice in a 15 oz package for online grocery orders. Listed under pantry and intended for ambient storage. One of the less-repurchased items in its aisle.,3.92,Pantry,2025-11-23T11:19:39Z,q_000203,Pantry,1.14,16.80,Ambient,false,false,Market Pantry Co.,15 oz,oz,15.57,"3.3 x 7.9 x 2.3""",Ambient,"Prepared ingredients, Natural flavors, Salt",Peanuts,61,Mexico
Purely Good Creamy Tomato Soup - 32 oz (Well Reviewed),Creamy tomato soup in a 32 oz package for online grocery orders. Listed under pantry and intended for ambient storage. A dependable pick according to reviews.,10.19,Pantry,2024-10-08T01:11:11Z,q_000203,Pantry,1.14,16.80,Ambient,true,false,Purely Good,32 oz,oz,31.46,"6.2 x 11.9 x 9.3""",Ambient,"Salt, Prepared ingredients, Natural flavors",Peanuts,65,United States
Sunny Basket Creamy Pasta Sauce - 32 oz (Top Rated),Creamy pasta sauce in a 32 oz package for online grocery orders. Listed under pantry and intended for ambient storage. Frequently reordered by returning customers.,1.63,Pantry,2026-01-20T17:13:19Z,q_000203,Pantry,1.14,16.80,Ambient,false,false,Sunny Basket,32 oz,oz,34.53,"7.2 x 18.7 x 12.8""",Ambient,"Salt, Prepared ingredients, Natural flavors",None,64,United States
Oak & Grain Classic Maple Syrup - 16 oz (Highly Rated),Classic maple syrup in a 16 oz package for online grocery orders. Listed under pantry and intended for ambient storage. Well liked by regular shoppers.,6.19,Pantry,2026-01-18T15:05:30Z,q_000203,Pantry,1.14,16.80,Ambient,true,false,Oak & Grain,16 oz,oz,15.38,"3.4 x 8.4 x 6.0""",Ambient,"Natural flavors, Prepared ingredients, Salt",Peanuts,40,United States
Market Pantry Co. Classic Pasta Sauce - 15 oz (Regular Listing),Classic pasta sauce in a 15 oz package for online grocery orders. Listed under pantry and intended for ambient storage. Ships as part of regular inventory.,9.33,Pantry,2025-10-30T16:58:57Z,q_000203,Pantry,1.14,16.80,Ambient,false,false,Market Pantry Co.,15 oz,oz,16.17,"1.8 x 8.6 x 5.0""",Ambient,"Salt, Natural flavors, Prepared ingredients",Peanuts,55,Vietnam
FreshField Low Fat Salted Butter - 16 oz (Well Reviewed),Low Fat salted butter in a 16 oz package for online grocery orders. Listed under dairy and intended for refrigerated storage. Often recommended by repeat customers.,9.63,Dairy,2025-12-18T21:15:37Z,q_000204,Dairy,1.27,10.58,Refrigerated,false,false,FreshField,16 oz,oz,15.13,"2.1 x 4.0 x 6.5""",Refrigerated,"Milk, Cream, Cultures, Salt",Milk,56,United States
Riverbend Small Batch Sharp Cheddar - 32 fl oz (Popular Choice),Small Batch sharp cheddar in a 32 fl oz package for online grocery orders. Listed under dairy and intended for refrigerated storage. Often recommended by repeat customers.,5.46,Dairy,2025-06-22T15:32:56Z,q_000204,Dairy,1.27,10.58,Refrigerated,true,false,Riverbend,32 fl oz,fl oz,34.15,"4.8 x 18.6 x 8.7""",Refrigerated,"Cream, Salt, Cultures, Milk",Milk,59,United States
Riverbend Creamy Greek Yogurt - 16 oz (Low Feedback),Creamy Greek yogurt in a 16 oz package for online grocery orders. Listed under dairy and intended for refrigerated storage. Received mixed feedback from shoppers.,6.77,Dairy,2026-02-18T14:09:08Z,q_000205,Dairy,1.21,12.69,Refrigerated,true,false,Riverbend,16 oz,oz,17.00,"1.4 x 5.4 x 3.3""",Refrigerated,"Salt, Milk, Cream, Cultures",Milk,48,United States
Market Pantry Co. Cultured Half And Half - 32 fl oz (Unrated Listing),Cultured half and half in a 32 fl oz package for online grocery orders. Listed under dairy and intended for refrigerated storage. Recently added to the online catalog.,4.27,Dairy,2024-09-23T18:54:55Z,q_000205,Dairy,1.21,12.69,Refrigerated,false,false,Market Pantry Co.,32 fl oz,fl oz,31.23,"2.7 x 14.0 x 6.4""",Refrigerated,"Cream, Cultures, Milk, Salt",Milk,67,Vietnam
FreshField Cultured Sharp Cheddar - 24 oz (Limited Feedback),Cultured sharp cheddar in a 24 oz package for online grocery orders. Listed under dairy and intended for refrigerated storage. Recently added to the online catalog.,4.76,Dairy,2025-02-19T00:54:55Z,q_000205,Dairy,1.21,12.69,Refrigerated,false,false,FreshField,24 oz,oz,24.80,"6.0 x 12.8 x 9.0""",Refrigerated,"Cultures, Salt, Cream, Milk",Milk,48,United States
Green Fork Small Batch Provolone Cheese - 1 gal (Recently Added),Small Batch provolone cheese in a 1 gal package for online grocery orders. Listed under dairy and intended for refrigerated storage. Limited customer feedback so far.,7.86,Dairy,2025-01-22T11:51:22Z,q_000205,Dairy,1.21,12.69,Refrigerated,false,false,Green Fork,1 gal,gal,130.39,"7.3 x 13.6 x 5.9""",Refrigerated,"Cultures, Salt, Milk, Cream",Milk,77,United States
Valley Select Zero Sugar Almond Milk - 12 ct (Shopper Favorite),Zero Sugar almond milk in a 12 ct package for online grocery orders. Listed under beverages and intended for refrigerated storage. A dependable pick according to reviews.,2.54,Beverages,2025-11-29T00:47:03Z,q_000206,Beverages,0.93,15.20,Refrigerated,false,false,Valley Select,12 ct,ct,150.65,"5.6 x 3.8 x 2.5""",Refrigerated,"Filtered water, Natural flavors",Tree nuts,81,United States
FreshField Zero Sugar Cold Brew Coffee - 64 fl oz (New Listing),Zero Sugar cold brew coffee in a 64 fl oz package for online grocery orders. Listed under beverages and intended for refrigerated storage. Recently added to the online catalog.,3.00,Beverages,2025-12-27T02:33:21Z,q_000206,Beverages,0.93,15.20,Refrigerated,false,false,FreshField,64 fl oz,fl oz,61.55,"9.5 x 2.3 x 4.8""",Refrigerated,"Filtered water, Natural flavors",Tree nuts,71,Spain
Valley Select Zero Sugar Cold Brew Coffee - 64 fl oz (Top Rated),Zero Sugar cold brew coffee in a 64 fl oz package for online grocery orders. Listed under beverages and intended for refrigerated storage. Consistently praised in customer feedback.,5.45,Beverages,2025-05-26T23:59:28Z,q_000206,Beverages,0.93,15.20,Refrigerated,true,true,Valley Select,64 fl oz,fl oz,62.39,"10.8 x 3.0 x 4.5""",Refrigerated,"Filtered water, Natural flavors",None,73,Thailand
Green Fork Lightly Sweetened Sports Drink - 32 fl oz (Best Seller),Lightly Sweetened sports drink in a 32 fl oz package for online grocery orders. Listed under beverages and intended for refrigerated storage. Rated highly by shoppers for consistent quality.,8.94,Beverages,2025-10-30T10:30:07Z,q_000206,Beverages,0.93,15.20,Refrigerated,true,true,Green Fork,32 fl oz,fl oz,31.72,"8.8 x 2.5 x 2.5""",Refrigerated,"Natural flavors, Filtered water",None,22,United States
Purely Good Unsweetened Almond Milk - 12 fl oz (Clearance Listing),Unsweetened almond milk in a 12 fl oz package for online grocery orders. Listed under beverages and intended for refrigerated storage. One of the less-repurchased items in its aisle.,5.72,Beverages,2025-02-26T00:00:14Z,q_000206,Beverages,0.93,15.20,Refrigerated,false,false,Purely Good,12 fl oz,fl oz,13.40,"7.8 x 4.8 x 4.2""",Refrigerated,"Filtered water, Natural flavors",None,25,United States
Purely Good Lightly Sweetened Orange Juice - 12 ct (Well Reviewed),Lightly Sweetened orange juice in a 12 ct package for online grocery orders. Listed under beverages and intended for refrigerated storage. Generally receives positive feedback.,1.30,Beverages,2025-12-16T14:07:11Z,q_000206,Beverages,0.93,15.20,Refrigerated,false,false,Purely Good,12 ct,ct,152.53,"8.0 x 2.4 x 2.7""",Refrigerated,"Natural flavors, Filtered water",None,65,United States
Blue Cart Zero Sugar Green Tea - 12 ct (Recently Added),Zero Sugar green tea in a 12 ct package for online grocery orders. Listed under beverages and intended for refrigerated storage. Feedback on this listing is still limited.,4.43,Beverages,2025-09-17T19:45:56Z,q_000206,Beverages,0.93,15.20,Refrigerated,true,false,Blue Cart,12 ct,ct,135.12,"6.3 x 3.4 x 4.7""",Refrigerated,"Natural flavors, Filtered water",None,75,Canada
Purely Good Extra Virgin Olive Oil - 16 oz (Discontinuing Soon),Extra Virgin olive oil in a 16 oz package for online grocery orders. Listed under pantry and intended for ambient storage. Rarely reordered by past customers.,5.92,Pantry,2026-04-11T05:59:57Z,q_000207,Pantry,0.78,16.96,Ambient,false,false,Purely Good,16 oz,oz,15.18,"1.5 x 7.2 x 2.2""",Ambient,"Prepared ingredients, Salt, Natural flavors",None,60,United States
FreshField Gluten Free Peanut Butter - 15 oz (Regular Listing),Gluten Free peanut butter in a 15 oz package for online grocery orders. Listed under pantry and intended for ambient storage.,4.45,Pantry,2024-11-29T14:41:48Z,q_000207,Pantry,0.78,16.96,Ambient,false,false,FreshField,15 oz,oz,14.87,"1.0 x 5.2 x 3.5""",Ambient,"Salt, Natural flavors, Prepared ingredients",Soy,40,United States
Daily Table Low Sodium Rolled Oats - 32 oz (Recently Added),Low Sodium rolled oats in a 32 oz package for online grocery orders. Listed under pantry and intended for ambient storage. Limited customer feedback so far.,7.80,Pantry,2024-09-08T23:33:36Z,q_000207,Pantry,0.78,16.96,Ambient,true,false,Daily Table,32 oz,oz,33.75,"4.3 x 12.7 x 7.4""",Ambient,"Prepared ingredients, Salt, Natural flavors",Wheat,74,United States
Corner Market Creamy Rolled Oats - 16 oz (Clearance Listing),Creamy rolled oats in a 16 oz package for online grocery orders. Listed under pantry and intended for ambient storage. One of the less-repurchased items in its aisle.,9.64,Pantry,2025-01-08T21:10:22Z,q_000207,Pantry,0.78,16.96,Ambient,false,false,Corner Market,16 oz,oz,15.17,"1.9 x 8.1 x 5.2""",Ambient,"Salt, Natural flavors, Prepared ingredients",Wheat,67,United States
Cedar House Extra Virgin Long Grain Rice - 15 oz (Discontinuing Soon),Extra Virgin long grain rice in a 15 oz package for online grocery orders. Listed under pantry and intended for ambient storage. Received mixed feedback from shoppers.,2.18,Pantry,2025-05-09T14:39:53Z,q_000207,Pantry,0.78,16.96,Ambient,false,false,Cedar House,15 oz,oz,14.89,"1.4 x 8.3 x 5.8""",Ambient,"Natural flavors, Salt, Prepared ingredients",Peanuts,59,Canada
Golden Acre Wild Caught Tuna Steaks - 16 oz (Rarely Reordered),Wild Caught tuna steaks in a 16 oz package for online grocery orders. Listed under seafood and intended for refrigerated storage. Rarely reordered by past customers.,17.40,Seafood,2025-01-25T12:47:02Z,q_000208,Seafood,4.60,33.64,Refrigerated,false,false,Golden Acre,16 oz,oz,16.81,"3.1 x 8.4 x 4.1""",Refrigerated,"Seafood, Salt",Fish,83,United States
Sunny Basket Peeled Tilapia Fillets - 2 lb (Current Stock),Peeled tilapia fillets in a 2 lb package for online grocery orders. Listed under seafood and intended for refrigerated storage. Ships as part of regular inventory.,11.46,Seafood,2025-12-04T23:00:55Z,q_000208,Seafood,4.60,33.64,Refrigerated,false,false,Sunny Basket,2 lb,lb,33.29,"6.2 x 6.5 x 8.0""",Refrigerated,"Salt, Seafood",Shellfish,57,United States
Cedar House Ready To Cook Shrimp - 12 oz (Best Seller),Ready To Cook shrimp in a 12 oz package for online grocery orders. Listed under seafood and intended for refrigerated storage. Consistently praised in customer feedback.,27.86,Seafood,2025-02-03T00:26:31Z,q_000208,Seafood,4.60,33.64,Refrigerated,false,false,Cedar House,12 oz,oz,11.39,"2.5 x 5.0 x 5.0""",Refrigerated,"Seafood, Salt",Shellfish,85,United States
Purely Good Skinless Salmon Fillets - 2 lb (Discontinuing Soon),Skinless salmon fillets in a 2 lb package for online grocery orders. Listed under seafood and intended for refrigerated storage. One of the less-repurchased items in its aisle.,22.70,Seafood,2026-06-14T12:32:04Z,q_000208,Seafood,4.60,33.64,Refrigerated,false,false,Purely Good,2 lb,lb,33.29,"7.4 x 16.8 x 10.4""",Refrigerated,"Salt, Seafood",Shellfish,65,United States
Sunny Basket Creamy Taco Shells - 12 oz (New Listing),Creamy taco shells in a 12 oz package for online grocery orders. Listed under pantry and intended for ambient storage. Limited customer feedback so far.,4.27,Pantry,2025-03-10T17:01:20Z,q_000209,Pantry,1.28,15.90,Ambient,false,false,Sunny Basket,12 oz,oz,12.09,"1.5 x 8.0 x 6.2""",Ambient,"Salt, Natural flavors, Prepared ingredients",Soy,55,Canada
Blue Cart Gluten Free Maple Syrup - 15 oz (#1 Pick),Gluten Free maple syrup in a 15 oz package for online grocery orders. Listed under pantry and intended for ambient storage. Frequently reordered by returning customers.,11.92,Pantry,2025-01-08T08:36:12Z,q_000209,Pantry,1.28,15.90,Ambient,false,false,Blue Cart,15 oz,oz,14.98,"1.8 x 5.4 x 3.5""",Ambient,"Natural flavors, Prepared ingredients, Salt",Wheat,43,United States
